step,customer,age,gender,merchant,category,amount,fraud
0716,1326593353,3645,0,1823072687,12,15.78,0
0822,483912131,2635,1,1198415165,0,608.32,1
0603,1681589600,2635,1,348934600,12,43.76,0
0701,1251749294,3645,1,1823072687,12,41.57,0
0306,1705346216,3645,0,348934600,12,42.97,0
0327,34676686,2635,0,348934600,12,32.61,0
0318,760368405,3645,0,980657600,10,410.67,1
0716,1655037147,2635,1,480139044,4,16.45,1
0513,1789457872,2635,1,3697346,7,300.62,1
0723,477542874,2635,1,85975013,3,47.47,0
0524,483912131,2635,1,480139044,4,390.48,1
0429,763681944,2635,0,1823072687,12,30.61,0
0620,413455659,2635,1,1823072687,12,67.28,0
0308,1293579037,2635,1,348934600,12,5.54,0
0717,1453917071,5665,1,2011752106,6,760.26,1
0308,1499701993,3645,0,547558035,2,135.04,0
0810,367052603,2635,1,348934600,12,41.46,0
0319,126603077,1925,1,1823072687,12,27.39,0
0629,1620825260,3645,1,1823072687,12,5.52,0
0531,449179311,2635,0,480139044,4,423.02,1
0402,33256704,4655,1,348934600,12,51.26,0
0309,1740393527,2635,1,855959430,12,45.62,0
0523,480961011,3645,0,1823072687,12,69.37,0
0802,1089848865,3645,1,1823072687,12,47.41,0
0321,1978250683,3645,1,480139044,4,119.15,1
0620,1825950751,4655,1,1823072687,12,9.27,0
0805,911364935,3645,0,1823072687,12,33.31,0
0323,1059874896,2635,0,348934600,12,22.6,0
0316,1356412685,5665,0,348934600,12,70.0,0
0606,140648396,3645,1,732195782,13,1242.08,1
0707,1134994937,5665,0,1823072687,12,0.68,0
0616,1732752834,3645,0,1823072687,12,18.34,0
0421,1232523772,1925,0,348934600,12,34.42,0
0802,1735920391,4655,1,348934600,12,33.3,0
0612,731767226,6065,0,1823072687,12,20.41,0
0612,1499241933,3645,1,1198415165,0,297.6,1
0611,1711218892,2635,0,1823072687,12,12.92,0
0502,1994178184,4655,0,1888755466,8,267.3,1
0714,1419235351,4655,0,1823072687,12,23.49,0
0530,1642006830,3645,1,348934600,12,68.31,0
0515,658175205,3645,1,1535107174,0,155.95,1
0709,662015024,3645,0,348934600,12,49.83,0
0516,1491844959,1925,1,1823072687,12,3.96,0
0503,10745331,4655,1,1823072687,12,20.62,0
0312,644590864,1925,0,980657600,10,152.55,1
0321,2029865097,4655,0,1823072687,12,21.44,0
0709,1998442183,3645,1,349281107,2,143.62,0
0408,1703648667,2635,1,348934600,12,49.78,0
0818,947010068,4655,1,1823072687,12,11.58,0
0807,1156188729,2635,1,348934600,12,11.37,0
0322,2025967620,3645,1,480139044,4,249.43,1
0810,1911281701,2635,0,1823072687,12,37.9,0
0604,1394454342,1925,0,1888755466,8,512.51,1
0519,1729635847,5665,1,348934600,12,28.27,0
0307,612005121,3645,1,348934600,12,27.82,0
0628,1188590334,6065,1,840466850,11,204.29,1
0627,1949984685,2635,1,1823072687,12,14.84,0
0805,2004941826,2635,1,1198415165,0,188.92,1
0714,808977147,2635,0,1823072687,12,1.14,0
0623,806399525,2635,1,980657600,10,166.08,1
0423,1794686407,2635,1,348934600,12,21.18,0
0731,1100361227,4655,1,1823072687,12,17.5,0
0630,998987490,2635,1,1823072687,12,15.98,0
0819,1255149927,2635,0,1823072687,12,26.35,0
0614,1125717761,5665,0,840466850,11,310.76,1
0726,506520283,4655,1,547558035,2,305.05,1
0319,1849046345,4655,1,1535107174,0,362.29,1
0727,1464489812,4655,0,480139044,4,320.75,1
0609,1275518867,5665,1,480139044,4,426.13,1
0528,1803182614,2635,0,980657600,10,205.15,1
0706,1787537369,2635,0,1353266412,6,635.36,1
0802,37682628,1925,0,3697346,7,303.91,1
0512,1948728559,5665,1,348934600,12,17.47,0
0406,332229910,4655,1,348934600,12,27.38,0
0609,706956926,2635,1,3697346,7,224.41,1
0608,983659750,2635,0,1823072687,12,18.71,0
0613,197798791,2635,0,1913465890,4,59.13,0
0312,1572610482,3645,1,980657600,10,199.75,1
0813,1348847019,3645,0,980657600,10,167.62,1
0405,1345265337,2635,0,1535107174,0,475.95,1
0725,422003518,5665,1,732195782,13,4775.72,1
0705,1282114843,2635,1,1823072687,12,25.85,0
0504,1480064437,2635,1,348934600,12,4.52,0
0812,1559339990,4655,0,85975013,3,55.98,0
0827,1886871597,4655,1,480139044,4,487.12,1
0515,1562537029,5665,1,348934600,12,16.19,0
0510,396866523,3645,1,348934600,12,25.14,0
0326,475624028,2635,0,732195782,13,427.78,1
0329,203163727,5665,1,348934600,12,25.48,0
0718,1082769360,4655,0,348934600,12,24.7,0
0319,1978250683,3645,1,980657600,10,165.11,1
0430,1093842718,2635,0,1823072687,12,28.0,0
0607,190128751,2635,1,348934600,12,13.05,0
0701,334073161,3645,1,1823072687,12,24.03,0
0711,375459759,2635,1,480139044,4,26.75,1
0528,1251749294,3645,1,1823072687,12,10.2,0
0821,1234470601,5665,0,348934600,12,44.64,0
0513,487569403,2635,0,1823072687,12,35.17,0
0321,1760612790,3645,0,151143676,9,38.91,0
0815,299734038,5665,1,1823072687,12,11.58,0
0814,1383337902,2635,0,1823072687,12,29.91,0
0704,2125787399,4655,1,1823072687,12,40.97,0
0410,1134333439,3645,0,348934600,12,15.12,0
0731,1288983259,3645,1,1823072687,12,14.37,0
0519,1096642744,5665,0,480139044,4,300.44,1
0701,2093963973,2635,0,480139044,4,53.4,1
0823,1952109278,1925,0,1823072687,12,19.53,0
0505,1647495093,3645,0,980657600,10,128.42,1
0408,2110532720,3645,1,348934600,12,46.26,0
0517,472989518,3645,0,348934600,12,31.26,0
0804,1187353931,5665,1,1823072687,12,12.16,0
0422,676156739,2635,1,1823072687,12,7.36,0
0627,910454738,4655,1,17379832,10,164.92,1
0410,576436654,6065,1,1649169323,10,570.25,1
0512,1855338494,4655,0,980657600,10,773.13,1
0804,976232384,3645,0,85975013,3,57.13,0
0827,2113737065,2635,1,732195782,13,3631.6,1
0718,1434012857,5665,1,348934600,12,27.27,0
0724,2060410910,2635,1,732195782,13,4345.91,1
0326,433355159,4655,1,1823072687,12,6.3,0
0707,846682077,3645,0,1823072687,12,30.34,0
0401,982406682,1925,0,1053599405,4,229.44,0
0731,1803364571,5665,0,1823072687,12,4.2,0
0612,784005201,4655,0,1823072687,12,29.82,0
0805,189823798,5665,0,348934600,12,19.53,0
0720,380412694,1925,0,151143676,9,3.3,0
0329,605859862,5665,1,480139044,4,339.91,1
0730,1883823119,4655,0,1823072687,12,10.35,0
0821,1793075309,5665,0,1823072687,12,24.22,0
0528,1590346257,1925,1,85975013,3,64.09,0
0426,1739998964,2635,1,1823072687,12,1.86,0
0511,1477378413,3645,0,2122776122,5,978.09,1
0423,608244416,1925,1,1823072687,12,40.5,0
0706,1581709798,2635,0,480139044,4,88.91,1
0506,54550671,4655,1,348934600,12,40.39,0
0802,1469520420,3645,1,980657600,10,675.58,1
0411,1991822900,3645,1,1823072687,12,41.78,0
0330,454239699,3645,1,348934600,12,7.69,0
0411,1155962240,2635,1,1823072687,12,45.46,0
0618,152830802,2635,1,1823072687,12,33.93,0
0517,489708690,6065,1,1823072687,12,11.24,0
0331,823678601,2635,1,348934600,12,8.58,0
0404,895105444,3645,1,980657600,10,500.86,1
0731,638838388,2635,1,1823072687,12,11.78,0
0716,1076110991,2635,0,45060432,6,27.33,0
0622,339075311,3645,1,547558035,2,23.59,1
0315,333991833,2635,0,348934600,12,52.94,0
0708,1612832553,1925,1,980657600,10,126.53,1
0818,1872803698,3645,1,1913465890,4,186.72,0
0717,509860014,6065,1,1823072687,12,20.78,0
0526,1645168081,3645,1,1823072687,12,11.33,0
0331,1415998962,2635,1,1823072687,12,36.77,0
0616,1436756684,2635,1,348934600,12,34.06,0
0811,1510459992,3645,0,1823072687,12,44.76,0
0501,1156808163,3645,0,348934600,12,21.2,0
0423,894204131,1925,0,1294758098,7,368.26,1
0718,1904416498,4655,1,1823072687,12,32.73,0
0820,1332295774,3645,0,1873032707,6,636.65,1
0714,1957046981,5665,1,348934600,12,17.51,0
0706,404247926,5665,1,348934600,12,14.37,0
0418,276623362,4655,0,1823072687,12,54.02,0
0618,1994736634,4655,1,480139044,4,14.27,1
0730,855082400,2635,0,1823072687,12,40.2,0
0406,132320296,2635,0,692898500,4,81.44,0
0520,1964602402,4655,0,1535107174,0,126.61,1
0519,639532055,4655,1,348934600,12,25.58,0
0419,793132240,4655,1,732195782,13,209.29,1
0714,34111179,4655,1,1198415165,0,13.96,1
0414,1728122351,3645,1,980657600,10,546.4,1
0815,1734862058,4655,0,980657600,10,336.29,1
0729,1299279378,4655,1,348934600,12,38.97,0
0724,789852022,2635,1,1823072687,12,79.25,0
0422,1846274338,3645,0,857378720,6,523.67,1
0312,974315171,3645,0,980657600,10,402.4,1
0512,1763624260,6065,1,1823072687,12,16.09,0
0306,1790520611,3645,1,348934600,12,41.7,0
0621,377517197,3645,1,1823072687,12,18.89,0
